Step{fromWhere=(2,4) on the chessboard is clicked!, toWhere=(2,3) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Wolf', rank=4}, CapturedChessPiece=null, turn=1}
Step{fromWhere=(6,6) on the chessboard is clicked!, toWhere=(5,6) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Rat', rank=1}, CapturedChessPiece=null, turn=2}
Step{fromWhere=(1,5) on the chessboard is clicked!, toWhere=(1,4) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Cat', rank=2}, CapturedChessPiece=null, turn=3}
Step{fromWhere=(5,6) on the chessboard is clicked!, toWhere=(5,5) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Rat', rank=1}, CapturedChessPiece=null, turn=4}
Step{fromWhere=(0,6) on the chessboard is clicked!, toWhere=(0,5) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Tiger', rank=6}, CapturedChessPiece=null, turn=5}
Step{fromWhere=(8,6) on the chessboard is clicked!, toWhere=(7,6) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Lion', rank=7}, CapturedChessPiece=null, turn=6}
Step{fromWhere=(2,6) on the chessboard is clicked!, toWhere=(3,6) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Elephant', rank=8}, CapturedChessPiece=null, turn=7}
Step{fromWhere=(7,6) on the chessboard is clicked!, toWhere=(6,6) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Lion', rank=7}, CapturedChessPiece=null, turn=8}
Step{fromWhere=(0,5) on the chessboard is clicked!, toWhere=(1,5) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Tiger', rank=6}, CapturedChessPiece=null, turn=9}
Step{fromWhere=(6,4) on the chessboard is clicked!, toWhere=(7,4) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Leopard', rank=5}, CapturedChessPiece=null, turn=10}
Step{fromWhere=(1,5) on the chessboard is clicked!, toWhere=(2,5) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Tiger', rank=6}, CapturedChessPiece=null, turn=11}
Step{fromWhere=(6,6) on the chessboard is clicked!, toWhere=(6,5) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Lion', rank=7}, CapturedChessPiece=null, turn=12}
Step{fromWhere=(2,3) on the chessboard is clicked!, toWhere=(3,3) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Wolf', rank=4}, CapturedChessPiece=null, turn=13}
Step{fromWhere=(5,5) on the chessboard is clicked!, toWhere=(4,5) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Rat', rank=1}, CapturedChessPiece=null, turn=14}
Step{fromWhere=(2,5) on the chessboard is clicked!, toWhere=(2,4) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Tiger', rank=6}, CapturedChessPiece=null, turn=15}
Step{fromWhere=(6,2) on the chessboard is clicked!, toWhere=(6,3) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Wolf', rank=4}, CapturedChessPiece=null, turn=16}
Step{fromWhere=(2,2) on the chessboard is clicked!, toWhere=(1,2) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Leopard', rank=5}, CapturedChessPiece=null, turn=17}
Step{fromWhere=(7,1) on the chessboard is clicked!, toWhere=(6,1) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Cat', rank=2}, CapturedChessPiece=null, turn=18}
Step{fromWhere=(2,0) on the chessboard is clicked!, toWhere=(3,0) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Rat', rank=1}, CapturedChessPiece=null, turn=19}
Step{fromWhere=(6,3) on the chessboard is clicked!, toWhere=(5,3) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Wolf', rank=4}, CapturedChessPiece=null, turn=20}
Step{fromWhere=(3,0) on the chessboard is clicked!, toWhere=(4,0) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Rat', rank=1}, CapturedChessPiece=null, turn=21}
Step{fromWhere=(6,1) on the chessboard is clicked!, toWhere=(6,2) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Cat', rank=2}, CapturedChessPiece=null, turn=22}
Step{fromWhere=(4,0) on the chessboard is clicked!, toWhere=(5,0) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Rat', rank=1}, CapturedChessPiece=null, turn=23}
Step{fromWhere=(5,3) on the chessboard is clicked!, toWhere=(4,3) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=RED, name='Wolf', rank=4}, CapturedChessPiece=null, turn=24}
Step{fromWhere=(0,0) on the chessboard is clicked!, toWhere=(1,0) on the chessboard is clicked!, MovedChessPiece=ChessPiece{owner=BLUE, name='Lion', rank=7}, CapturedChessPiece=null, turn=25}
